model,sparsity,pruning_data,dataset,acc,bleu,ppl,f1,dataset_group,pruning_group,metric,value,percentage,percentage_wrt_task
Llama,0.1,e-SNLI,OSCAR,,,5.853050231933594,,Language Modeling,NLI,ppl,5.853,0.95225233357361,0.9980966370244899
Llama,0.1,e-SNLI,Pile,,,4.399008750915527,,Language Modeling,NLI,ppl,4.399,0.999209247522327,0.9980966370244899
Llama,0.1,e-SNLI,RedPajama,,,6.7508225440979,,Language Modeling,NLI,ppl,6.751,0.9950975811338456,0.9980966370244899
Llama,0.1,e-SNLI,Wikitext,,,5.47924280166626,,Language Modeling,NLI,ppl,5.479,0.9341154079283392,0.9980966370244899
Llama,0.1,GSM8K,C4,,,7.688009262084961,,Language Modeling,Mathematical Reasoning,ppl,7.688,0.9704522579154997,0.9981738301926741
Llama,0.1,GSM8K,OSCAR,,,5.8519110679626465,,Language Modeling,Mathematical Reasoning,ppl,5.852,0.95243770405123,0.9981738301926741
Llama,0.1,GSM8K,Pile,,,4.399249076843262,,Language Modeling,Mathematical Reasoning,ppl,4.399,0.999154661867999,0.9981738301926741
Llama,0.1,GSM8K,RedPajama,,,6.750784397125244,,Language Modeling,Mathematical Reasoning,ppl,6.751,0.9951032041782186,0.9981738301926741
Llama,0.1,GSM8K,Wikitext,,,5.482026100158691,,Language Modeling,Mathematical Reasoning,ppl,5.482,0.9336411449534568,0.9981738301926741
Llama,0.1,IWSLT,C4,,,7.686477184295654,,Language Modeling,Translation,ppl,7.686,0.9706456896156513,0.9980911232267627
Llama,0.1,IWSLT,OSCAR,,,5.8520588874816895,,Language Modeling,Translation,ppl,5.852,0.9524136460425807,0.9980911232267627
Llama,0.1,IWSLT,Pile,,,4.399133682250977,,Language Modeling,Translation,ppl,4.399,0.9991808709021325,0.9980911232267627
Llama,0.1,IWSLT,RedPajama,,,6.7506208419799805,,Language Modeling,Translation,ppl,6.751,0.995127313701316,0.9980911232267627
Llama,0.1,IWSLT,Wikitext,,,5.479771137237549,,Language Modeling,Translation,ppl,5.48,0.934025344605376,0.9980911232267627
Llama,0.1,MAWPS,C4,,,7.688971519470215,,Language Modeling,Mathematical Reasoning,ppl,7.689,0.9703308080115886,0.9981738301926741
Llama,0.1,MAWPS,OSCAR,,,5.8527374267578125,,Language Modeling,Mathematical Reasoning,ppl,5.853,0.9523032276146155,0.9981738301926741
Llama,0.1,MAWPS,Pile,,,4.399382591247559,,Language Modeling,Mathematical Reasoning,ppl,4.399,0.9991243390814004,0.9981738301926741
Llama,0.1,MAWPS,RedPajama,,,6.750552654266357,,Language Modeling,Mathematical Reasoning,ppl,6.751,0.9951373655385152,0.9981738301926741
Llama,0.1,MAWPS,Wikitext,,,5.481478214263916,,Language Modeling,Mathematical Reasoning,ppl,5.481,0.9337344644548955,0.9981738301926741
Llama,0.1,MBPP,C4,,,7.689381122589111,,Language Modeling,Coding,ppl,7.689,0.9702791197782982,0.9986039064154136
Llama,0.1,MBPP,OSCAR,,,5.851431846618652,,Language Modeling,Coding,ppl,5.851,0.9525157069210524,0.9986039064154136
Llama,0.1,MBPP,Pile,,,4.399585247039795,,Language Modeling,Coding,ppl,4.4,0.9990783169399688,0.9986039064154136
Llama,0.1,MBPP,RedPajama,,,6.753810882568359,,Language Modeling,Coding,ppl,6.754,0.9946572832878935,0.9986039064154136
Llama,0.1,MBPP,Wikitext,,,5.481344223022461,,Language Modeling,Coding,ppl,5.481,0.9337572895567302,0.9986039064154136
Llama,0.1,RefineCode,C4,,,7.692446708679199,,Language Modeling,Coding,ppl,7.692,0.9698924451238298,0.9986039064154136
Llama,0.1,RefineCode,OSCAR,,,5.850549221038818,,Language Modeling,Coding,ppl,5.851,0.9526594053494151,0.9986039064154136
Llama,0.1,RefineCode,Pile,,,4.40098237991333,,Language Modeling,Coding,ppl,4.401,0.9987611502168745,0.9986039064154136
Llama,0.1,RefineCode,RedPajama,,,6.7585577964782715,,Language Modeling,Coding,ppl,6.759,0.9939586797343225,0.9986039064154136
Llama,0.1,RefineCode,Wikitext,,,5.481446266174316,,Language Modeling,Coding,ppl,5.481,0.9337399066376487,0.9986039064154136
Llama,0.1,OSCAR,C4,,,7.6995954513549805,,Language Modeling,Language Modeling,ppl,7.7,0.9689919417717797,1.0
Llama,0.1,OSCAR,OSCAR,,,5.85344123840332,,Language Modeling,Language Modeling,ppl,5.853,0.952188723671661,1.0
Llama,0.1,OSCAR,Pile,,,4.406361103057861,,Language Modeling,Language Modeling,ppl,4.406,0.9975419901006503,1.0
Llama,0.1,OSCAR,RedPajama,,,6.76749849319458,,Language Modeling,Language Modeling,ppl,6.767,0.9926455382370641,1.0
Llama,0.1,OSCAR,Wikitext,,,5.492812633514404,,Language Modeling,Language Modeling,ppl,5.493,0.9318077033226865,1.0
Llama,0.1,Pile,C4,,,7.705053329467773,,Language Modeling,Language Modeling,ppl,7.705,0.9683055558787395,1.0
Llama,0.1,Pile,OSCAR,,,5.854827404022217,,Language Modeling,Language Modeling,ppl,5.855,0.951963287261606,1.0
Llama,0.1,Pile,Pile,,,4.407668590545654,,Language Modeling,Language Modeling,ppl,4.408,0.9972460799967459,1.0
Llama,0.1,Pile,RedPajama,,,6.771359443664551,,Language Modeling,Language Modeling,ppl,6.771,0.9920795432859385,1.0
Llama,0.1,Pile,Wikitext,,,5.49391508102417,,Language Modeling,Language Modeling,ppl,5.494,0.93162072025743,1.0
Llama,0.1,RACE,C4,,,7.694449901580811,,Language Modeling,Question Answering,ppl,7.694,0.9696399408270638,0.9982978906415413
Llama,0.1,RACE,OSCAR,,,5.847461700439453,,Language Modeling,Question Answering,ppl,5.847,0.9531624194243896,0.9982978906415413
Llama,0.1,RACE,Pile,,,4.401848793029785,,Language Modeling,Question Answering,ppl,4.402,0.9985645646907829,0.9982978906415413
Llama,0.1,RACE,RedPajama,,,6.759553909301758,,Language Modeling,Question Answering,ppl,6.76,0.9938122063131198,0.9982978906415413
Llama,0.1,RACE,Wikitext,,,5.484837055206299,,Language Modeling,Question Answering,ppl,5.485,0.9331626579423304,0.9982978906415413
Llama,0.1,RedPajama,C4,,,7.703619956970215,,Language Modeling,Language Modeling,ppl,7.704,0.9684857234572003,1.0
Llama,0.1,RedPajama,OSCAR,,,5.854856014251709,,Language Modeling,Language Modeling,ppl,5.855,0.9519586354156766,1.0
Llama,0.1,RedPajama,Pile,,,4.406839847564697,,Language Modeling,Language Modeling,ppl,4.407,0.9974336204378946,1.0
Llama,0.1,RedPajama,RedPajama,,,6.7713446617126465,,Language Modeling,Language Modeling,ppl,6.771,0.9920817090111861,1.0
Llama,0.1,RedPajama,Wikitext,,,5.493959426879883,,Language Modeling,Language Modeling,ppl,5.494,0.931613200449796,1.0
Llama,0.1,RTE,C4,,,7.686715126037598,,Language Modeling,NLI,ppl,7.687,0.9706156433445966,0.9980966370244899
Llama,0.1,RTE,OSCAR,,,5.851354122161865,,Language Modeling,NLI,ppl,5.851,0.9525283593369471,0.9980966370244899
Llama,0.1,RTE,Pile,,,4.399013042449951,,Language Modeling,NLI,ppl,4.399,0.9992082727261986,0.9980966370244899
Llama,0.1,RTE,RedPajama,,,6.751536846160889,,Language Modeling,NLI,ppl,6.752,0.9949923013625469,0.9980966370244899
Llama,0.1,RTE,Wikitext,,,5.480887413024902,,Language Modeling,NLI,ppl,5.481,0.9338351144841588,0.9980966370244899
Llama,0.1,SVAMP,C4,,,7.688634395599365,,Language Modeling,Mathematical Reasoning,ppl,7.689,0.9703733541467239,0.9981738301926741
Llama,0.1,SVAMP,OSCAR,,,5.850965976715088,,Language Modeling,Mathematical Reasoning,ppl,5.851,0.9525915488251572,0.9981738301926741
Llama,0.1,SVAMP,Pile,,,4.398926734924316,,Language Modeling,Mathematical Reasoning,ppl,4.399,0.9992278773249587,0.9981738301926741
Llama,0.1,SVAMP,RedPajama,,,6.7511820793151855,,Language Modeling,Mathematical Reasoning,ppl,6.751,0.9950445870624594,0.9981738301926741
Llama,0.1,SVAMP,Wikitext,,,5.481422424316406,,Language Modeling,Mathematical Reasoning,ppl,5.481,0.9337439680093979,0.9981738301926741
Llama,0.1,Wikitext,C4,,,7.704196929931641,,Language Modeling,Language Modeling,ppl,7.704,0.9684131928506954,1.0
Llama,0.1,Wikitext,OSCAR,,,5.8580708503723145,,Language Modeling,Language Modeling,ppl,5.858,0.9514362124056746,1.0
Llama,0.1,Wikitext,Pile,,,4.408144950866699,,Language Modeling,Language Modeling,ppl,4.408,0.997138313925502,1.0
Llama,0.1,Wikitext,RedPajama,,,6.771831035614014,,Language Modeling,Language Modeling,ppl,6.772,0.9920104546268477,1.0
Llama,0.1,Wikitext,Wikitext,,,5.493880748748779,,Language Modeling,Language Modeling,ppl,5.494,0.9316265421273596,1.0
Llama,0.1,WinoGrande,C4,,,7.688108444213867,,Language Modeling,Question Answering,ppl,7.688,0.9704397383833364,0.9982978906415413
Llama,0.1,WinoGrande,OSCAR,,,5.852264404296875,,Language Modeling,Question Answering,ppl,5.852,0.9523801996693905,0.9982978906415413
Llama,0.1,WinoGrande,Pile,,,4.399033069610596,,Language Modeling,Question Answering,ppl,4.399,0.9992037237027477,0.9982978906415413
Llama,0.1,WinoGrande,RedPajama,,,6.750827789306641,,Language Modeling,Question Answering,ppl,6.751,0.9950968079702139,0.9982978906415413
Llama,0.1,WinoGrande,Wikitext,,,5.4808454513549805,,Language Modeling,Question Answering,ppl,5.481,0.9338422639798312,0.9982978906415413
Llama,0.1,WMT14,C4,,,7.6872944831848145,,Language Modeling,Translation,ppl,7.687,0.9705424923665247,0.9980911232267627
Llama,0.1,WMT14,OSCAR,,,5.8523430824279785,,Language Modeling,Translation,ppl,5.852,0.9523673959951775,0.9980911232267627
Llama,0.1,WMT14,Pile,,,4.399189472198486,,Language Modeling,Translation,ppl,4.399,0.9991681994205578,0.9980911232267627
Llama,0.1,WMT14,RedPajama,,,6.752068996429443,,Language Modeling,Translation,ppl,6.752,0.9949138831146499,0.9980911232267627
Llama,0.1,WMT14,Wikitext,,,5.480917930603027,,Language Modeling,Translation,ppl,5.481,0.933829914919702,0.9980911232267627
Llama,0.1,ANLI,ANLI,0.364,,,,NLI,NLI,acc,0.364,1.002754820936639,1.0
Llama,0.1,ANLI,BoolQ,0.274006116207951,,,,Question Answering,NLI,acc,0.274,1.0101465614430665,1.0010623766884201
Llama,0.1,ANLI,CommonsenseQA,0.4823914823914824,,,,Question Answering,NLI,acc,0.482,0.9800332778702163,1.0010623766884201
Llama,0.1,ANLI,e-SNLI,0.4685464169381108,,,,NLI,NLI,acc,0.469,0.9915984489444206,1.0
Llama,0.1,ANLI,MAWPS,0.3538461538461538,,,,Mathematical Reasoning,NLI,acc,0.354,0.9839572192513368,0.9793611793611795
Llama,0.1,ANLI,RACE,0.3824483177948926,,,,Question Answering,NLI,acc,0.382,0.9554430379746837,1.0010623766884201
Llama,0.1,ANLI,RTE,0.6462093862815884,,,,NLI,NLI,acc,0.646,1.0112994350282485,1.0
Llama,0.1,ANLI,SVAMP,0.28,,,,Mathematical Reasoning,NLI,acc,0.28,1.0243902439024393,0.9793611793611795
Llama,0.1,ANLI,WinoGrande,0.5059194948697711,,,,Question Answering,NLI,acc,0.506,1.0422764227642276,1.0010623766884201
Llama,0.1,BoolQ,ANLI,0.362,,,,NLI,Question Answering,acc,0.362,0.9972451790633609,0.9997736019923025
Llama,0.1,BoolQ,BoolQ,0.272782874617737,,,,Question Answering,Question Answering,acc,0.273,1.0056369785794814,1.0
Llama,0.1,BoolQ,CommonsenseQA,0.4832104832104832,,,,Question Answering,Question Answering,acc,0.483,0.9816971713810317,1.0
Llama,0.1,BoolQ,e-SNLI,0.4653908794788273,,,,NLI,Question Answering,acc,0.465,0.984920292977165,0.9997736019923025
Llama,0.1,BoolQ,MAWPS,0.3576923076923077,,,,Mathematical Reasoning,Question Answering,acc,0.358,0.9946524064171123,0.9825552825552826
Llama,0.1,BoolQ,RACE,0.3828536684231861,,,,Question Answering,Question Answering,acc,0.383,0.9564556962025318,1.0
Llama,0.1,BoolQ,RTE,0.6498194945848376,,,,NLI,Question Answering,acc,0.65,1.016949152542373,0.9997736019923025
Llama,0.1,BoolQ,SVAMP,0.2866666666666667,,,,Mathematical Reasoning,Question Answering,acc,0.287,1.048780487804878,0.9825552825552826
Llama,0.1,BoolQ,WinoGrande,0.5043409629044988,,,,Question Answering,Question Answering,acc,0.504,1.0390243902439025,1.0
Llama,0.1,C4,ANLI,0.364,,,,NLI,Language Modeling,acc,0.364,1.002754820936639,0.9937966945890878
Llama,0.1,C4,BoolQ,0.2691131498470948,,,,Question Answering,Language Modeling,acc,0.269,0.992108229988726,1.0037334952193049
Llama,0.1,C4,CommonsenseQA,0.4791154791154791,,,,Question Answering,Language Modeling,acc,0.479,0.9733777038269551,1.0037334952193049
Llama,0.1,C4,e-SNLI,0.4587744299674267,,,,NLI,Language Modeling,acc,0.459,0.9709177078845326,0.9937966945890878
Llama,0.1,C4,MAWPS,0.3519230769230769,,,,Mathematical Reasoning,Language Modeling,acc,0.352,0.9786096256684491,0.9835872235872237
Llama,0.1,C4,RACE,0.3850830968788001,,,,Question Answering,Language Modeling,acc,0.385,0.9620253164556962,1.0037334952193049
Llama,0.1,C4,RTE,0.6389891696750902,,,,NLI,Language Modeling,acc,0.639,1.0,0.9937966945890878
Llama,0.1,C4,SVAMP,0.2766666666666666,,,,Mathematical Reasoning,Language Modeling,acc,0.277,1.0121951219512193,0.9835872235872237
Llama,0.1,C4,WinoGrande,0.5067087608524072,,,,Question Answering,Language Modeling,acc,0.507,1.0439024390243903,1.0037334952193049
Llama,0.1,CommonsenseQA,ANLI,0.358,,,,NLI,Question Answering,acc,0.358,0.9862258953168044,0.9997736019923025
Llama,0.1,CommonsenseQA,BoolQ,0.2730886850152905,,,,Question Answering,Question Answering,acc,0.273,1.0067643742953776,1.0
Llama,0.1,CommonsenseQA,CommonsenseQA,0.4873054873054873,,,,Question Answering,Question Answering,acc,0.487,0.9900166389351082,1.0
Llama,0.1,CommonsenseQA,e-SNLI,0.4754682410423452,,,,NLI,Question Answering,acc,0.475,1.0062473071951743,0.9997736019923025
Llama,0.1,CommonsenseQA,MAWPS,0.3423076923076923,,,,Mathematical Reasoning,Question Answering,acc,0.342,0.9518716577540107,0.9825552825552826
Llama,0.1,CommonsenseQA,RACE,0.3830563437373327,,,,Question Answering,Question Answering,acc,0.383,0.9569620253164556,1.0
Llama,0.1,CommonsenseQA,RTE,0.628158844765343,,,,NLI,Question Answering,acc,0.628,0.9830508474576273,0.9997736019923025
Llama,0.1,CommonsenseQA,SVAMP,0.2733333333333333,,,,Mathematical Reasoning,Question Answering,acc,0.273,1.0,0.9825552825552826
Llama,0.1,CommonsenseQA,WinoGrande,0.5059194948697711,,,,Question Answering,Question Answering,acc,0.506,1.0422764227642276,1.0
Llama,0.1,DS1000,ANLI,0.366,,,,NLI,Coding,acc,0.366,1.0082644628099173,1.0038487661308582
Llama,0.1,DS1000,BoolQ,0.2871559633027523,,,,Question Answering,Coding,acc,0.287,1.0586245772266065,1.0083472454090148
Llama,0.1,DS1000,CommonsenseQA,0.4889434889434889,,,,Question Answering,Coding,acc,0.489,0.9933444259567387,1.0083472454090148
Llama,0.1,DS1000,e-SNLI,0.4634568403908795,,,,NLI,Coding,acc,0.463,0.9808272296423955,1.0038487661308582
Llama,0.1,DS1000,MAWPS,0.3615384615384615,,,,Mathematical Reasoning,Coding,acc,0.362,1.0053475935828875,0.9896805896805899
Llama,0.1,DS1000,RACE,0.3883259019051479,,,,Question Answering,Coding,acc,0.388,0.9701265822784809,1.0083472454090148
Llama,0.1,DS1000,RTE,0.6462093862815884,,,,NLI,Coding,acc,0.646,1.0112994350282485,1.0038487661308582
Llama,0.1,DS1000,SVAMP,0.2766666666666666,,,,Mathematical Reasoning,Coding,acc,0.277,1.0121951219512193,0.9896805896805899
Llama,0.1,DS1000,WinoGrande,0.5035516969218626,,,,Question Answering,Coding,acc,0.504,1.0373983739837398,1.0083472454090148
Llama,0.1,e-SNLI,ANLI,0.363,,,,NLI,NLI,acc,0.363,1.0,1.0
Llama,0.1,e-SNLI,BoolQ,0.2807339449541284,,,,Question Answering,NLI,acc,0.281,1.0349492671927847,1.0010623766884201
Llama,0.1,e-SNLI,CommonsenseQA,0.4897624897624897,,,,Question Answering,NLI,acc,0.49,0.9950083194675541,1.0010623766884201
Llama,0.1,e-SNLI,e-SNLI,0.4710912052117263,,,,NLI,NLI,acc,0.471,0.9969840585954329,1.0
Llama,0.1,e-SNLI,MAWPS,0.3442307692307692,,,,Mathematical Reasoning,NLI,acc,0.344,0.9572192513368982,0.9793611793611795
Llama,0.1,e-SNLI,RACE,0.3838670449939197,,,,Question Answering,NLI,acc,0.384,0.958987341772152,1.0010623766884201
Llama,0.1,e-SNLI,RTE,0.6353790613718412,,,,NLI,NLI,acc,0.635,0.9943502824858758,1.0
Llama,0.1,e-SNLI,SVAMP,0.2766666666666666,,,,Mathematical Reasoning,NLI,acc,0.277,1.0121951219512193,0.9793611793611795
Llama,0.1,e-SNLI,WinoGrande,0.5019731649565904,,,,Question Answering,NLI,acc,0.502,1.0341463414634149,1.0010623766884201
Llama,0.1,GSM8K,ANLI,0.36,,,,NLI,Mathematical Reasoning,acc,0.36,0.9917355371900827,1.0013583880461854
Llama,0.1,GSM8K,BoolQ,0.2795107033639143,,,,Question Answering,Mathematical Reasoning,acc,0.28,1.0304396843291994,1.0067283856933273
Llama,0.1,GSM8K,CommonsenseQA,0.4889434889434889,,,,Question Answering,Mathematical Reasoning,acc,0.489,0.9933444259567387,1.0067283856933273
Llama,0.1,GSM8K,e-SNLI,0.4656962540716612,,,,NLI,Mathematical Reasoning,acc,0.466,0.9855665661352865,1.0013583880461854
Llama,0.1,GSM8K,MAWPS,0.3538461538461538,,,,Mathematical Reasoning,Mathematical Reasoning,acc,0.354,0.9839572192513368,1.0
Llama,0.1,GSM8K,RACE,0.3828536684231861,,,,Question Answering,Mathematical Reasoning,acc,0.383,0.9564556962025318,1.0067283856933273
Llama,0.1,GSM8K,RTE,0.6498194945848376,,,,NLI,Mathematical Reasoning,acc,0.65,1.016949152542373,1.0013583880461854
Llama,0.1,GSM8K,SVAMP,0.2866666666666667,,,,Mathematical Reasoning,Mathematical Reasoning,acc,0.287,1.048780487804878,1.0
Llama,0.1,GSM8K,WinoGrande,0.500394632991318,,,,Question Answering,Mathematical Reasoning,acc,0.5,1.0308943089430895,1.0067283856933273
Llama,0.1,IWSLT,ANLI,0.359,,,,NLI,Translation,acc,0.359,0.9889807162534435,1.001471587050034
Llama,0.1,IWSLT,BoolQ,0.2629969418960244,,,,Question Answering,Translation,acc,0.263,0.9695603156708004,0.9925633631810593
Llama,0.1,IWSLT,CommonsenseQA,0.4889434889434889,,,,Question Answering,Translation,acc,0.489,0.9933444259567387,0.9925633631810593
Llama,0.1,IWSLT,e-SNLI,0.4668159609120521,,,,NLI,Translation,acc,0.467,0.9879362343817321,1.001471587050034
Llama,0.1,IWSLT,MAWPS,0.35,,,,Mathematical Reasoning,Translation,acc,0.35,0.9732620320855614,0.984766584766585
Llama,0.1,IWSLT,RACE,0.3877178759627077,,,,Question Answering,Translation,acc,0.388,0.9686075949367088,0.9925633631810593
Llama,0.1,IWSLT,RTE,0.6389891696750902,,,,NLI,Translation,acc,0.639,1.0,1.001471587050034
Llama,0.1,IWSLT,SVAMP,0.2766666666666666,,,,Mathematical Reasoning,Translation,acc,0.277,1.0121951219512193,0.984766584766585
Llama,0.1,IWSLT,WinoGrande,0.5011838989739542,,,,Question Answering,Translation,acc,0.501,1.0325203252032522,0.9925633631810593
Llama,0.1,MAWPS,ANLI,0.358,,,,NLI,Mathematical Reasoning,acc,0.358,0.9862258953168044,1.0013583880461854
Llama,0.1,MAWPS,BoolQ,0.2749235474006116,,,,Question Answering,Mathematical Reasoning,acc,0.275,1.0135287485907554,1.0067283856933273
Llama,0.1,MAWPS,CommonsenseQA,0.4905814905814906,,,,Question Answering,Mathematical Reasoning,acc,0.491,0.9966722129783695,1.0067283856933273
Llama,0.1,MAWPS,e-SNLI,0.471192996742671,,,,NLI,Mathematical Reasoning,acc,0.471,0.9971994829814735,1.0013583880461854
Llama,0.1,MAWPS,MAWPS,0.3557692307692308,,,,Mathematical Reasoning,Mathematical Reasoning,acc,0.356,0.9893048128342247,1.0
Llama,0.1,MAWPS,RACE,0.3921767328739359,,,,Question Answering,Mathematical Reasoning,acc,0.392,0.979746835443038,1.0067283856933273
Llama,0.1,MAWPS,RTE,0.6425992779783394,,,,NLI,Mathematical Reasoning,acc,0.643,1.0056497175141244,1.0013583880461854
Llama,0.1,MAWPS,SVAMP,0.28,,,,Mathematical Reasoning,Mathematical Reasoning,acc,0.28,1.0243902439024393,1.0
Llama,0.1,MAWPS,WinoGrande,0.5035516969218626,,,,Question Answering,Mathematical Reasoning,acc,0.504,1.0373983739837398,1.0067283856933273
Llama,0.1,MBPP,ANLI,0.359,,,,NLI,Coding,acc,0.359,0.9889807162534435,1.0038487661308582
Llama,0.1,MBPP,BoolQ,0.2862385321100917,,,,Question Answering,Coding,acc,0.286,1.0552423900789176,1.0083472454090148
Llama,0.1,MBPP,CommonsenseQA,0.4897624897624897,,,,Question Answering,Coding,acc,0.49,0.9950083194675541,1.0083472454090148
Llama,0.1,MBPP,e-SNLI,0.4759771986970684,,,,NLI,Coding,acc,0.476,1.0073244291253771,1.0038487661308582
Llama,0.1,MBPP,MAWPS,0.3557692307692308,,,,Mathematical Reasoning,Coding,acc,0.356,0.9893048128342247,0.9896805896805899
Llama,0.1,MBPP,RACE,0.3873125253344143,,,,Question Answering,Coding,acc,0.387,0.967594936708861,1.0083472454090148
Llama,0.1,MBPP,RTE,0.6462093862815884,,,,NLI,Coding,acc,0.646,1.0112994350282485,1.0038487661308582
Llama,0.1,MBPP,SVAMP,0.28,,,,Mathematical Reasoning,Coding,acc,0.28,1.0243902439024393,0.9896805896805899
Llama,0.1,MBPP,WinoGrande,0.5035516969218626,,,,Question Answering,Coding,acc,0.504,1.0373983739837398,1.0083472454090148
Llama,0.1,RefineCode,ANLI,0.359,,,,NLI,Coding,acc,0.359,0.9889807162534435,1.0038487661308582
Llama,0.1,RefineCode,BoolQ,0.274006116207951,,,,Question Answering,Coding,acc,0.274,1.0101465614430665,1.0083472454090148
Llama,0.1,RefineCode,CommonsenseQA,0.4889434889434889,,,,Question Answering,Coding,acc,0.489,0.9933444259567387,1.0083472454090148
Llama,0.1,RefineCode,e-SNLI,0.46875,,,,NLI,Coding,acc,0.469,0.9920292977165016,1.0038487661308582
Llama,0.1,RefineCode,MAWPS,0.3519230769230769,,,,Mathematical Reasoning,Coding,acc,0.352,0.9786096256684491,0.9896805896805899
Llama,0.1,RefineCode,RACE,0.3834616943656262,,,,Question Answering,Coding,acc,0.383,0.9579746835443038,1.0083472454090148
Llama,0.1,RefineCode,RTE,0.6498194945848376,,,,NLI,Coding,acc,0.65,1.016949152542373,1.0038487661308582
Llama,0.1,RefineCode,SVAMP,0.2766666666666666,,,,Mathematical Reasoning,Coding,acc,0.277,1.0121951219512193,0.9896805896805899
Llama,0.1,RefineCode,WinoGrande,0.5019731649565904,,,,Question Answering,Coding,acc,0.502,1.0341463414634149,1.0083472454090148
Llama,0.1,OSCAR,ANLI,0.369,,,,NLI,Language Modeling,acc,0.369,1.0165289256198347,0.9937966945890878
Llama,0.1,OSCAR,BoolQ,0.2844036697247706,,,,Question Answering,Language Modeling,acc,0.284,1.04847801578354,1.0037334952193049
Llama,0.1,OSCAR,CommonsenseQA,0.4815724815724815,,,,Question Answering,Language Modeling,acc,0.482,0.9783693843594009,1.0037334952193049
Llama,0.1,OSCAR,e-SNLI,0.4593851791530944,,,,NLI,Language Modeling,acc,0.459,0.9722102542007754,0.9937966945890878
Llama,0.1,OSCAR,MAWPS,0.3519230769230769,,,,Mathematical Reasoning,Language Modeling,acc,0.352,0.9786096256684491,0.9835872235872237
Llama,0.1,OSCAR,RACE,0.3854884475070936,,,,Question Answering,Language Modeling,acc,0.385,0.9630379746835444,1.0037334952193049
Llama,0.1,OSCAR,RTE,0.6425992779783394,,,,NLI,Language Modeling,acc,0.643,1.0056497175141244,0.9937966945890878
